Curs acadèmic,Estudi,Id Anònim PD,Codi_Ass,Assignatura,Hores professor Totals
2024/25,Graduat en Enginyeria Informàtica,AA008BCCC99ED39B3EB01A0A1D8A5559,102775,Arquitectura de Computadors,"28,03"
2024/25,Graduat en Enginyeria Informàtica,AA008BCCC99ED39B3EB01A0A1D8A5559,103806,Fonaments d'Informàtica,"55,62"
2024/25,Graduat en Enginyeria Informàtica,AA008BCCC99ED39B3EB01A0A1D8A5559,102747,Sistemes Operatius,"85,15"
2024/25,Graduat en Enginyeria Informàtica,576F6A8421FE2033AFC59CB3CA140F75,102777,Computació d'Altes Prestacions,"135,54"
2024/25,Graduat en Enginyeria Informàtica,576F6A8421FE2033AFC59CB3CA140F75,102774,Estructura de Computadors,"133,52"
2024/25,Graduat en Enginyeria Informàtica,576F6A8421FE2033AFC59CB3CA140F75,103805,Fonaments d'Enginyeria,"117,95"
2024/25,Graduat en Enginyeria Informàtica,576F6A8421FE2033AFC59CB3CA140F75,106542,Treball de Final de Grau,"31,39"
2024/25,Graduat en Enginyeria Informàtica,2F3CC7AA7A26C913B85AD264E4F8CBDD,103803,Estadística,"82,94"
2024/25,Graduat en Enginyeria Informàtica,9C83371A5BE582D7F361B8D07CF04ECE,102775,Arquitectura de Computadors,"100,88"
2024/25,Graduat en Enginyeria Informàtica,9C83371A5BE582D7F361B8D07CF04ECE,102778,Arquitectures Avançades,"87,62"
2024/25,Graduat en Enginyeria Informàtica,9C83371A5BE582D7F361B8D07CF04ECE,106542,Treball de Final de Grau,"15,69"
2024/25,Graduat en Enginyeria Informàtica,7016337CEBFEF9044CBDC2AE88C66B68,103806,Fonaments d'Informàtica,"134,93"
2024/25,Graduat en Enginyeria Informàtica,A904791726EE49E8F7BA3D4641A00693,102752,Sistemes d'Informació,"207,54"
2024/25,Graduat en Enginyeria Informàtica,A904791726EE49E8F7BA3D4641A00693,106542,Treball de Final de Grau,"31,39"
2024/25,Graduat en Enginyeria Informàtica,77A8272DF5826315A159EF3EB43AAB62,102757,Garantia de la Informació i Seguretat,"205,77"
2024/25,Graduat en Enginyeria Informàtica,77A8272DF5826315A159EF3EB43AAB62,106542,Treball de Final de Grau,"31,39"
2024/25,Graduat en Enginyeria Informàtica,002E493D80C22C612D36EA8235F9B86D,102771,Electricitat i Electrònica,"233,58"
2024/25,Graduat en Enginyeria Informàtica,6610BDC731AF61B800FBCD8C2F12C587,103803,Estadística,"227,12"
2024/25,Graduat en Enginyeria Informàtica,267225E9993F8DE055B22122585EBF7B,102742,Tecnologies de Desenvolupament per a Internet i web,"53,28"
2024/25,Graduat en Enginyeria Informàtica,267225E9993F8DE055B22122585EBF7B,106542,Treball de Final de Grau,"31,39"
2024/25,Graduat en Enginyeria Informàtica,BC8C57593883FD7683CB01A385774235,102764,Metodologia de la Programació,167
2024/25,Graduat en Enginyeria Informàtica,BC8C57593883FD7683CB01A385774235,106542,Treball de Final de Grau,"31,39"
2024/25,Graduat en Enginyeria Informàtica,F476CDDCA08E817289D4BFB0D409D354,103807,Organització i Gestió d'Empreses,"406,87"
2024/25,Graduat en Enginyeria Informàtica,0FC86FD5750C9F7A35477D4266AAB91B,103807,Organització i Gestió d'Empreses,"223,6"
2024/25,Graduat en Enginyeria Informàtica,F728DE606E3EC59EF3F99DA96C3CE788,102767,Laboratori de Programació,"156,5"
2024/25,Graduat en Enginyeria Informàtica,F728DE606E3EC59EF3F99DA96C3CE788,102758,Test i Qualitat del Software,"264,08"
2024/25,Graduat en Enginyeria Informàtica,F728DE606E3EC59EF3F99DA96C3CE788,106542,Treball de Final de Grau,"15,69"
2024/25,Graduat en Enginyeria Informàtica,7215E0588933B0E7DA373C866C6D5DCB,102771,Electricitat i Electrònica,"128,7"
2024/25,Graduat en Enginyeria Informàtica,B5B9B849FC7D60C361BA33013821B7F9,102740,Sistemes Distribuïts,"221,37"
2024/25,Graduat en Enginyeria Informàtica,B5B9B849FC7D60C361BA33013821B7F9,106542,Treball de Final de Grau,"15,69"
2024/25,Graduat en Enginyeria Informàtica,907290E557C616B6825E60D4044A6091,103805,Fonaments d'Enginyeria,"98,4"
2024/25,Graduat en Enginyeria Informàtica,20CDA14CEEB4C663F8C0833D3E6D83B9,102760,Gestió de Projectes,"72,02"
2024/25,Graduat en Enginyeria Informàtica,34A699C964A740FCA3E768F3C9CEB5EF,102773,Fonaments de Tecnologia de la Informació,"100,75"
2024/25,Graduat en Enginyeria Informàtica,34A699C964A740FCA3E768F3C9CEB5EF,105072,Tecnologia Blockchain i Criptomonedes,"27,7"
2024/25,Graduat en Enginyeria Informàtica,58BEF05FD2078FC1F12E92D1423B5BE7,103806,Fonaments d'Informàtica,"168,6"
2024/25,Graduat en Enginyeria Informàtica,58BEF05FD2078FC1F12E92D1423B5BE7,102758,Test i Qualitat del Software,"135,12"
2024/25,Graduat en Enginyeria Informàtica,8FE34962C5AC75E1B57F728340E35EEF,102751,Infraestructura i Tecnologia de Xarxes,"191,72"
2024/25,Graduat en Enginyeria Informàtica,8FE34962C5AC75E1B57F728340E35EEF,102770,Tendències Actuals,"70,8"
2024/25,Graduat en Enginyeria Informàtica,8FE34962C5AC75E1B57F728340E35EEF,106542,Treball de Final de Grau,"31,39"
2024/25,Graduat en Enginyeria Informàtica,8E895696EF7C7FB3B388BF1CBE4B9966,102763,Requisits del Software,"200,84"
2024/25,Graduat en Enginyeria Informàtica,8E895696EF7C7FB3B388BF1CBE4B9966,106542,Treball de Final de Grau,"15,69"
2024/25,Graduat en Enginyeria Informàtica,3E5F0BCC42ECAE13CED8168475A57249,103803,Estadística,"109,46"
2024/25,Graduat en Enginyeria Informàtica,48C2EE2C786575B557A38360C8AFD6CB,102771,Electricitat i Electrònica,"58,5"
2024/25,Graduat en Enginyeria Informàtica,45E8D55C62D89DC24FEDE22D37C6103A,102760,Gestió de Projectes,"145,6"
2024/25,Graduat en Enginyeria Informàtica,45E8D55C62D89DC24FEDE22D37C6103A,106542,Treball de Final de Grau,"62,77"
2024/25,Graduat en Enginyeria Informàtica,958DD09B63A7E80617C6311CA664C9A2,102743,Enginyeria del Software,"153,47"
2024/25,Graduat en Enginyeria Informàtica,60D26AA0CBB7EB65DD1D80A036A26FF3,102741,Gestió i Administració de Bases de Dades,"104,42"
2024/25,Graduat en Enginyeria Informàtica,E3DEF7A6276F2F8A8BC22FF7B41D7389,103801,Àlgebra,"61,25"
2024/25,Graduat en Enginyeria Informàtica,E3DEF7A6276F2F8A8BC22FF7B41D7389,103802,Càlcul,"52,8"
2024/25,Graduat en Enginyeria Informàtica,F87056FAF9477C07421E2502F7A0B634,102793,Microprocessadors i Perifèrics,"82,16"
2024/25,Graduat en Enginyeria Informàtica,F87056FAF9477C07421E2502F7A0B634,106542,Treball de Final de Grau,"15,69"
2024/25,Graduat en Enginyeria Informàtica,A6C5A93DB582ABDC98673562C1010B0E,102791,Sistemes Encastats,"184,29"
2024/25,Graduat en Enginyeria Informàtica,DF7B5345352BA180BF61228EE58D40A6,102744,Bases de Dades,"171,5"
2024/25,Graduat en Enginyeria Informàtica,724F356CE25CBD1E8EBFF880889BBD34,106542,Treball de Final de Grau,"15,69"
2024/25,Graduat en Enginyeria Informàtica,724F356CE25CBD1E8EBFF880889BBD34,102746,Xarxes,"324,95"
2024/25,Graduat en Enginyeria Informàtica,4100905CF2B2A67766F8CA312A578E7B,103806,Fonaments d'Informàtica,"189,91"
2024/25,Graduat en Enginyeria Informàtica,B15E2F41EA0CA37E94BBBC1022A9D28D,102754,Sistemes Multimèdia,"33,22"
2024/25,Graduat en Enginyeria Informàtica,EC5D895B522EEE0DB4DDDE3C6DA17221,102768,Intel·ligència Artificial,"48,85"
2024/25,Graduat en Enginyeria Informàtica,6ADEFACB3CF186763424031115C63C60,102768,Intel·ligència Artificial,"81,06"
2024/25,Graduat en Enginyeria Informàtica,31395CED770693932096A8E169C6B25F,102765,Fonaments Dels Computadors,"254,98"
2024/25,Graduat en Enginyeria Informàtica,A6A4908B06FD0F1D01BAFFC88F96747E,102765,Fonaments Dels Computadors,"228,08"
2024/25,Graduat en Enginyeria Informàtica,A6A4908B06FD0F1D01BAFFC88F96747E,102791,Sistemes Encastats,"109,17"
2024/25,Graduat en Enginyeria Informàtica,0ADA329A3667D681AD9C64646C3C677F,102769,Informació i Seguretat,"216,14"
2024/25,Graduat en Enginyeria Informàtica,0ADA329A3667D681AD9C64646C3C677F,102772,Matemàtica Discreta,"130,83"
2024/25,Graduat en Enginyeria Informàtica,859CB011A625D389E56C71153DEC9AC3,102771,Electricitat i Electrònica,"71,18"
2024/25,Graduat en Enginyeria Informàtica,FBB1D0AA8EB214A2CE4AEC289A3C6B6D,102767,Laboratori de Programació,477
2024/25,Graduat en Enginyeria Informàtica,F45ED80ACA48C08175ACBCD2A14101F9,102783,Anàlisi i Disseny d'Algorismes,"262,96"
2024/25,Graduat en Enginyeria Informàtica,F45ED80ACA48C08175ACBCD2A14101F9,102782,Compiladors,"251,56"
2024/25,Graduat en Enginyeria Informàtica,F45ED80ACA48C08175ACBCD2A14101F9,106542,Treball de Final de Grau,"94,16"
2024/25,Graduat en Enginyeria Informàtica,57BEA5C8ACB66B4141E49FDA6DD1C5CA,102744,Bases de Dades,"423,4"
